Drug,Interaction_Text,Risk_Level
interferon beta-1a,"avoid excessive or chronic alcohol consumption. alcohol and interferon beta-1a can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.",High
eptifibatide,"avoid herbs and supplements with anticoagulant/antiplatelet activity. the use of anticoagulant/antiplatelet herbs with eptifibatide may increase the risk of bleeding. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
interferon beta-1b,"avoid excessive or chronic alcohol consumption. alcohol and interferon beta-1 can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.",High
insulin pork,"avoid excessive or chronic alcohol consumption. drinking more than two standard drinks per day in women, or more than 3 standard drinks per day in men, can reduce a patient's insulin requirements, and therefore increase the risk of hypoglycemia if the insulin dosing is not adjusted.",High
ibritumomab tiuxetan,"avoid herbs and supplements with anticoagulant/antiplatelet activity. individuals taking these herbs/supplements while taking ibritumomab tiuxetan should be monitored for thrombocytopenia more frequently. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
pancrelipase,drink plenty of fluids.,Low
pancrelipase,take with fluids.,Low
pancrelipase,"take with food. if swallowing the oral capsule is not tolerated, sprinkle on acidic soft foods with a ph of 4 or less.",Low
streptokinase,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
cyclosporine,avoid grapefruit products.,High
cyclosporine,avoid potassium-containing products. taking products that increase serum potassium may increase the risk of hyperkalemia.,High
cyclosporine,avoid st. john's wort.,High
cyclosporine,take at the same time every day. take consistently with regard to food.,Low
octreotide,take on an empty stomach. the oral capsules should be taken on an empty stomach. food reduces oral octreotide absorption by 90%.,Low
octreotide,take with or without food. octreotide injections may be taken with or without food.,Low
interferon alfa-2b,avoid alcohol.,High
cyanocobalamin,take with or without food. recommendations vary from product to product - consult individual product monographs for additional information.,Low
biotin,"avoid dietary avidin (a glycoprotein in uncooked egg-whites). avidin binds with biotin in the gastrointestinal tract preventing biotin absorption. avidin is denatured by cooking; therefore, cooked egg whites do not reduce biotin absorption.",High
ascorbic acid,"avoid multivalent ions. do not infuse with elemental compounds that can be reduced, such as copper.",High
l-glutamine,"take with food. endari (l-glutamine) oral powder should be mixed with 8oz of water or 4-6 oz of food at room temperature or colder, then consumed.",Low
methionine,take with food.,Low
lutein,take with foods containing vitamin c. taking lutein with vitamin c may increase the rate of absorption of lutein. taking lutein with carotenoids or naringenin may reduce lutein absorption.,Low
calcifediol,"take with or without food. a high-fat, high-calorie meal may increase the auc and cmax of calcifediol by up to 3.5 and 5 fold, respectively.",Low
vitamin e,take with or without food. high-fat foods may increase absorption of vitamin e.,Low
pravastatin,take with or without food. lipid lowering effects are similar in the fasting and fed state.,Low
fluvoxamine,avoid alcohol.,High
fluvoxamine,avoid grapefruit products.,High
fluvoxamine,limit caffeine intake.,Moderate
fluvoxamine,take with or without food. the absorption is unaffected by food.,Low
valsartan,"take with or without food. co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent.",Low
ramipril,avoid potassium-containing products. potassium products increase the risk of hyperkalemia.,High
ramipril,take with or without food. the absorption is unaffected by food.,Low
baclofen,avoid alcohol.,High
baclofen,take with food. take with food or milk to reduce gastric irritation.,Low
amphetamine,take with or without food.,Low
nicotine,"take separate from meals. for nicotine gum, lozenges, and oral sprays, avoid eating and drinking for 15 minutes before and during its use.",High
lorazepam,avoid alcohol.,High
lorazepam,limit caffeine intake.,Moderate
lorazepam,take with food.,Low
bortezomib,"avoid st. john's wort. this herb induces cyp3a4 metabolism, which may reduce the serum concentration of bortezomib.",High
bortezomib,"exercise caution with grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum concentration of bortezomib.",Moderate
bortezomib,"limit foods and supplements high in flavonoids. flavonoids may interfere with the therapeutic action of this drug. foods high in flavonoids include green vegetables, fruits, and green tea.",Moderate
bortezomib,limit foods and supplements high in vitamin c. vitamin c may interfere with the therapeutic action of this drug. foods high in vitamin c include citrus fruits and beverages.,Moderate
ethchlorvynol,avoid alcohol.,High
ethchlorvynol,take with food. food reduces irritation.,Low
phentermine,limit caffeine intake.,Moderate
phentermine,take with or without food. the absorption is unaffected by food.,Low
tramadol,avoid alcohol. co-administration of alcohol may potentiate the cns effects of tramadol.,High
tramadol,take with or without food. co-administration of food does not affect pharmacokinetics.,Low
betaxolol,no food interactions are expected.,Low
fluconazole,take with or without food. the absorption is unaffected by food.,Low
oseltamivir,take with or without food. co-administration with food does not affect pharmacokinetics but may enhance tolerability.,Low
erythromycin,avoid grapefruit products.,High
erythromycin,"take on an empty stomach. allow approximately 30 minutes to 2 hours before meals, as this increases erythromycin absorption.",Low
erythromycin,take with a full glass of water.,Low
sildenafil,take with or without food. if taken with a high-fat meal the medicine may take a little longer to start working.,Low
dofetilide,"exercise caution with grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum concentration of dofetilide.",Moderate
dofetilide,"exercise caution with st. john's wort. dofetilide is partially metabolized by cyp3a4, and st. john's wort is a cyp3a4 inducer, coadministration may reduce dofetilide serum levels.",Moderate
dofetilide,take with or without food.,Low
pyrimethamine,administer folic acid supplement. folic acid need is increased.,Low
pyrimethamine,take with food. food reduces irritation.,Low
reserpine,avoid alcohol.,High
reserpine,take with food. food reduces irritation.,Low
azithromycin,take on an empty stomach. take at least 1 hour before or 2 hours after meals.,Low
ticlopidine,take with a high fat meal. high fat meals will increase ticlopidine absorption.,Low
ticlopidine,take with food. food can help ticlopidine-induced stomach upset.,Low
trospium,take on an empty stomach. take at least 1 hour before food as the cmax and auc of trospium are reduced by 70-80% when taken with a high fat meal.,Low
midodrine,take with or without food. the absorption is unaffected by food.,Low
pantoprazole,take with or without food. the absorption is unaffected by food.,Low
torasemide,take with or without food. food delays the cmax by 30 minutes but does not impact efficacy.,Low
citalopram,avoid alcohol.,High
citalopram,avoid st. john's wort. co-administration of st. john's wort with citalopram can increase the risk of serotonin syndrome.,High
citalopram,take with or without food. the absorption is unaffected by food.,Low
eletriptan,"take with or without food. high-fat meals increase exposure, but not to a clinically relevant extent.",Low
moxifloxacin,drink plenty of fluids.,Low
moxifloxacin,take with or without food.,Low
nelfinavir,take with food. food increases exposure and decreases pharmacokinetic variability.,Low
glimepiride,avoid alcohol. acute and chronic alcohol intake may unpredictably affect the glucose-lowering action of glimepiride.,High
glimepiride,take with food. the manufacturer recommends administration with the first meal of the day.,Low
indinavir,avoid excessive or chronic alcohol consumption.,High
indinavir,avoid grapefruit products.,High
indinavir,take on an empty stomach. take at least 1 hour before or 2 hours after meals.,Low
indinavir,take with a full glass of water.,Low
lovastatin,avoid grapefruit products. grapefruit products may increase the risk for lovastatin related adverse effects such as myopathy and rhabdomyolysis.,High
lovastatin,take with food. food increases bioavailability.,Low
pregabalin,avoid alcohol. alcohol may increase cns effects.,High
pregabalin,"take with or without food. food alters drug absorption, but not to a clinically significant extent.",Low
temazepam,avoid alcohol.,High
temazepam,take with or without food.,Low
aminosalicylic acid,take with or without food. the absorption is unaffected by food.,Low
butabarbital,avoid alcohol. concomitant use of alcohol and barbiturates may lead to increased.,High
nevirapine,avoid alcohol.,High
nevirapine,take with or without food. the absorption is unaffected by food.,Low
butalbital,avoid alcohol. profound cns depression can occur.,High
cladribine,"take with or without food. when taken with oral tablets of cladribine, food decreases cmax and prolongs tmax, but not to a clinically significant extent.",Low
ranolazine,avoid grapefruit products.,High
ranolazine,take with or without food. the absorption is unaffected by food.,Low
mesalazine,take with or without food. the absorption is unaffected by food.,Low
benzatropine,avoid alcohol.,High
benzatropine,take with food. food reduces irritation.,Low
ziprasidone,avoid alcohol.,High
ziprasidone,take with food.,Low
methysergide,take with food. food reduces irritation.,Low
cabergoline,"exercise caution with grapefruit products. cabergoline is partially metabolized through the cyp3a4 pathway. therefore coadministration with grapefruit, a cyp3a4 inhibitor, may increase its serum concentration.",Moderate
cabergoline,"exercise caution with st. john's wort. cabergoline is partially metabolized through the cyp3a4 pathway. therefore coadministration with st. john's wort, a cyp3a4 inducer, may reduce its serum concentration.",Moderate
cabergoline,take with or without food. taking cabergoline with food may reduce gastric irritation.,Low
dapsone,take with or without food. the absorption is unaffected by food.,Low
phenytoin,avoid alcohol. alcohol may increase or decrease serum levels of phenytoin.,High
phenytoin,take separate from antacids. take at least 2 hours before or after antacids. taking this medication with antacids can reduce absorption.,Low
phenytoin,take with food. food reduces irritation and increases bioavailability.,Low
doxycycline,"avoid multivalent ions. the absorption of tetracyclines is reduced when taken with foods, especially those which contain calcium.",High
doxycycline,"take with or without food. the absorption of tetracyclines is reduced when taken with foods, but not to a significant extent. if gastric irritation occurs, it is recommended that doxycycline be given with food or milk.",Low
lymecycline,take with or without food.,Low
calcium acetate,"take with food. when taken with food, calcium acetate forms an insoluble complex with the phosphorus from food, reducing phosphorus serum concentrations.",Low
cycloserine,"do not take with or immediately after a high-fat meal. high-fat meals may reduce the rate of absorption; however, the impact on the extent of absorption is unknown.",Low
anagrelide,"take with or without food. co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent.",Low
carmustine,avoid echinacea.,High
metoprolol,avoid alcohol.,High
metoprolol,avoid natural licorice.,High
metoprolol,take with food.,Low
dicoumarol,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include ginseng, ginkgo, ginger, and garlic.",High
ropinirole,take with or without food. may take with food to reduce nausea.,Low
isradipine,take with or without food.,Low
topiramate,avoid a ketogenic diet. this type of diet increases the risk of kidney stones.,High
topiramate,take with or without food. food slightly alters absorption but not to any clinically significant extent.,Low
olmesartan,take with or without food. food does not affect absorption.,Low
theophylline,"avoid excessive or chronic alcohol consumption. ingesting alcohol may reduce the clearance, and therefore increase the serum concentrations of theophylline.",High
theophylline,avoid st. john's wort.,High
theophylline,take with or without food. take consistently with regard to food.,Low
argatroban,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
argatroban,"exercise caution with grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum concentration of argatroban; however, the evidence is conflicting.",Moderate
argatroban,exercise caution with st. john's wort.,Moderate
liothyronine,take with or without food.,Low
disopyramide,avoid alcohol.,High
disopyramide,take with or without food. the absorption is unaffected by food.,Low
clemastine,avoid alcohol.,High
clemastine,take with food.,Low
acarbose,take with food. each dose should be taken with the first bite of a main meal.,Low
venlafaxine,"avoid alcohol. the safety of using venlafaxine with other cns-active drugs, including alcohol, has not been evaluated.",High
venlafaxine,avoid st. john's wort. co-administration of st. john's wort may lead to additive serotonergic activity and an increased risk of serotonin syndrome.,High
venlafaxine,take with food. co-administration with food helps to alleviate or mitigate gastrointestinal upset.,Low
conjugated estrogens,take with or without food. consult individual product monograph for specific instructions.,Low
atomoxetine,take with or without food.,Low
chlorambucil,"avoid echinacea. echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. monitor for reduced efficacy of the immunosuppressant during concomitant use.",High
chlorambucil,drink plenty of fluids.,Low
chlorambucil,take on an empty stomach. co-administration with food decreases bioavailability.,Low
etonogestrel,administer vitamin supplements.,Low
etonogestrel,avoid alcohol.,High
etonogestrel,limit caffeine intake.,Moderate
etonogestrel,take at the same time every day.,Low
etonogestrel,take with food.,Low
morphine,"avoid alcohol. concomitant use may lead to profound sedation, respiratory depression, coma, and death.",High
morphine,take with or without food. there is no significant different in the auc or cmax of oral extended release tablets when taken with or without food.,Low
tenofovir disoproxil,take with or without food.,Low
flucloxacillin,take on an empty stomach.,Low
tranexamic acid,take with or without food. the co-administration of food does not significantly affect tranexamic acid disposition.,Low
bexarotene,take with food.,Low
vindesine,"exercise caution with grapefruit products. vindesine is metabolized by cyp3a4, and grapefruit inhibits cyp3a4 metabolism, which may increase vindesine serum levels.",Moderate
vindesine,"exercise caution with st. john's wort. vindesine is metabolized by cyp3a4 and this herb induces cyp3a4 metabolism, which may reduce vindesine serum levels.",Moderate
chlorthalidone,take with food. food may increase bioavailability.,Low
valproic acid,avoid alcohol.,High
valproic acid,avoid milk and dairy products.,High
valproic acid,take with food.,Low
zolmitriptan,take with or without food. food does not significantly impact the oral bioavalibility of zolmitriptan.,Low
acetaminophen,avoid alcohol. alcohol may increase the risk of hepatotoxicity.,High
acetaminophen,take with or without food. the absorption is unaffected by food.,Low
gefitinib,"exercise caution with grapefruit products. grapefruit is an inhibitor of cyp3a4, the enzyme primarily responsible for metabolizing gefitinib. coadministration with grapefruit products may decrease gefitinib metabolism and increase plasma concentrations.",Moderate
gefitinib,take with or without food.,Low
codeine,avoid alcohol.,High
codeine,take with food. food reduces irritation.,Low
dihydroergotamine,"avoid grapefruit products. grapefruit inhibits the metabolism of dihydroergotamine through the cyp3a4 pathway and, therefore, may increase serum levels of dihydroergotamine. use caution if co-administering.",High
amitriptyline,avoid alcohol.,High
amitriptyline,avoid st. john's wort.,High
amitriptyline,limit caffeine intake.,Moderate
amitriptyline,take with food. food reduces irritation.,Low
tolcapone,take with or without food. there is a 10-20% reduction in oral bioavailability when food is given 1 hour before and 2 hours after tolcapone.,Low
hydromorphone,avoid alcohol.,High
hydromorphone,take with or without food. food does not significantly affect absorption.,Low
indomethacin,avoid alcohol. ingestion of alcohol can increase the risk of gi bleeding.,High
indomethacin,"take with or without food. food has no effect on drug absorption. however, food may decrease the extent of gastrointestinal irritation caused by indomethacin.",Low
ethambutol,take separate from antacids. do not take aluminum hydroxide containing antacids for at least 4 hours after ethambutol administration.,Low
ethambutol,take with food. food reduces irritation.,Low
metformin,avoid alcohol.,High
metformin,take with food. food reduces irritation.,Low
methadone,avoid alcohol.,High
methadone,take with or without food. food does not significantly affect absorption.,Low
olanzapine,avoid alcohol. alcohol may potentiate cns adverse effects and orthostatic hypotension.,High
olanzapine,take with or without food. the absorption of olanzapine is unaffected by food.,Low
omeprazole,take before a meal. allow 30-60 minutes before a meal.,Low
pyrazinamide,take with or without food. the absorption is unaffected by food.,Low
cetirizine,avoid alcohol.,High
cetirizine,take with or without food. the absorption is unaffected by food.,Low
terfenadine,"exercise caution with grapefruit products. grapefruit is a cyp3a4 inhibitor, and terfenadine is metabolized by cyp3a4. co-administration may increase terfenadine concentrations and the risk of qt prolongation.",Moderate
terfenadine,exercise caution with st. john's wort. this herb induces cyp3a4 and terfenadine is a substrate of cyp3a4.,Moderate
diltiazem,avoid natural licorice. the risk of cardiovascular adverse effects may be increased.,High
alfuzosin,take after a meal. take alfuzosin after the same meal everyday. do not take on an empty stomach.,Low
trimethadione,avoid alcohol. the combination of alcohol with trimethadione may make you sleepy or dizzy.,High
nitisinone,limit the intake of phenylalanine and tyrosine.,Moderate
nitisinone,take separate from meals. nitisinone capsules should be separated by one hour before or two hours after meals.,Low
nitisinone,take with or without food. nitisinone tablets can be taken with or without food but food may prolong the tmax by six hours.,Low
clobazam,avoid alcohol. alcohol increases clobazam absorption by 50%.,High
clobazam,take with or without food. the absorption is unaffected by food.,Low
minoxidil,take with or without food. the absorption is unaffected by food.,Low
megestrol acetate,take with food.,Low
tioguanine,"take with or without food. however, food intake may lower tioguanine serum levels.",Low
methylergometrine,"avoid grapefruit products. grapefruit inhibits the metabolism of methylergometrine through the cyp3a4 pathway and, therefore, may increase serum levels of methylergometrine. use caution if co-administering.",High
chlorzoxazone,avoid alcohol.,High
chlorzoxazone,take with or without food. the absorption is unaffected by food.,Low
aminoglutethimide,take with or without food. the absorption is unaffected by food.,Low
mefloquine,avoid alcohol.,High
mefloquine,take with a full glass of water.,Low
mefloquine,"take with food. the presence of food significantly enhances the rate and extent of absorption, leading to about a 40% increase in bioavailability.",Low
sapropterin,take at the same time every day.,Low
sapropterin,"take with food. taking sapropterin with food increases oral absorption. sapropterin may be dissolved in water, juice, or dispersed in applesauce.",Low
vinorelbine,exercise caution with grapefruit products. grapefruit inhibits cyp3a4 metabolism and may increase the serum levels of vinorelbine.,Moderate
vinorelbine,exercise caution with st. john's wort. this herb induces cyp3a4 metabolism and may reduce the serum levels of vinorelbine.,Moderate
clozapine,avoid alcohol. alcohol is a predisposing risk factor for seizure in combination with clozapine.,High
clozapine,exercise caution with st. john's wort. this herb induces both cyp3a4 and cyp1a2 metabolism and may reduce clozapine serum levels.,Moderate
clozapine,limit caffeine intake. caffeine may reduce clozapine metabolism.,Moderate
clozapine,take with or without food. the absorption is unaffected by food.,Low
sucralfate,take on an empty stomach. take at least 1 hour before or 2 hours after meals.,Low
sucralfate,take separate from antacids. take at least 30 minutes before or after antacids.,Low
grepafloxacin,avoid caffeine.,High
grepafloxacin,drink plenty of fluids.,Low
grepafloxacin,take with or without food. the absorption is unaffected by food.,Low
doxylamine,avoid alcohol. co-administration may increase drowsiness and fall risk.,High
levonorgestrel,take at the same time every day.,Low
levonorgestrel,take with or without food. the effect of food on absorption has not been evaluated.,Low
mirtazapine,avoid alcohol.,High
mirtazapine,take with or without food. food does not significantly affect absorption.,Low
meprobamate,avoid alcohol.,High
meprobamate,take with or without food. food does not significantly affect absorption.,Low
thiethylperazine,avoid excessive or chronic alcohol consumption. additive cns depression may occur if alcohol is consumed with thiethylperazine.,High
treprostinil,take with food. taking treprostinil with food increases oral absorption.,Low
colestipol,drink plenty of fluids. the tablet and granule formulations must be taken with plenty of water or other fluids.,Low
colestipol,take with food.,Low
trihexyphenidyl,take with or without food. taking with food may minimize stomach upset. may take before meals to mitigate dry mouth or may take after meals to reduce excess salivation.,Low
palonosetron,take with or without food.,Low
mexiletine,take with food. food reduces irritation.,Low
amlodipine,avoid grapefruit products.,High
amlodipine,avoid natural licorice.,High
amlodipine,take with or without food. the absorption is unaffected by food.,Low
tacrine,take on an empty stomach. take tacrine at least one hour before meals for optimal absorption.,Low
triamterene,avoid potassium-containing products. the risk of hyperkalemia can be increased with the intake of potassium supplementation or potassium-rich foods.,High
procyclidine,take with or without food. taking with food may reduce the adverse effects of procyclidine.,Low
digoxin,avoid multivalent ions. calcium and aluminum containing products (including kaolin-pectin) may interfere with absorption) and digoxin administration must be separated by several hours.,High
digoxin,avoid potassium-containing products. they may cause arrhythmias when given with digoxin.,High
digoxin,avoid st. john's wort. this drug can decrease digoxin levels.,High
digoxin,do not take with bran and high fiber foods. separate administration of bran and high fiber foods from medication by at least 2 hours.,Low
sulpiride,avoid alcohol. alcohol enhances the sedative effects of sulpiride.,High
nimodipine,avoid grapefruit products.,High
nimodipine,take with or without food. take consistently at the same time in regard to meals.,Low
carisoprodol,avoid alcohol.,High
carisoprodol,take with or without food. the absorption is unaffected by food.,Low
progesterone,administer vitamin supplements.,Low
progesterone,avoid alcohol.,High
progesterone,limit caffeine intake.,Moderate
progesterone,take at the same time every day.,Low
progesterone,take with food.,Low
phenylpropanolamine,limit caffeine intake.,Moderate
phenylpropanolamine,take with or without food. the absorption is unaffected by food.,Low
sorafenib,"do not take with or immediately after a high-fat meal. take sorafenib at least 1 hour before or 2 hours after a high-fat meal, as sorafenib absorption can be reduced by a high-fat meal.",Low
sorafenib,"exercise caution with grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum levels of sorafenib.",Moderate
sorafenib,"exercise caution with st. john's wort. this herb induces cyp3a4 metabolism, which may reduce serum levels of sorafenib.",Moderate
sorafenib,take on an empty stomach. take sorafenib at least one hour before or two hours after a meal.,Low
griseofulvin,avoid alcohol.,High
griseofulvin,take with a high fat meal.,Low
nisoldipine,avoid grapefruit products.,High
eszopiclone,avoid alcohol.,High
eszopiclone,do not take with or immediately after a high-fat meal. this decreases the absorption of eszopiclone.,Low
alprazolam,avoid alcohol. alcohol may potentiate the cns depressant effects of this drug.,High
alprazolam,avoid grapefruit products.,High
alprazolam,limit caffeine intake.,Moderate
alprazolam,"take with or without food. food increases the cmax of extended release alprazolam by 25%, but the auc and half life are not affected.",Low
dexbrompheniramine,avoid alcohol. taking with alcohol may increase drowsiness.,High
ardeparin,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include ginseng, ginkgo, ginger, and garlic.",High
loxapine,avoid alcohol.,High
loxapine,take with food. food reduces irritation.,Low
rosiglitazone,take with or without food.,Low
pramipexole,take with or without food. food decreases the risk of gi side effects.,Low
acetohexamide,avoid alcohol.,High
acetohexamide,take with or without food. the absorption is unaffected by food.,Low
ampicillin,take on an empty stomach.,Low
phenoxymethylpenicillin,take on an empty stomach. absorption is increased 1 hour before or 2 hours after food.,Low
secobarbital,avoid alcohol. taking with alcohol may cause additive cns depression.,High
secobarbital,take on an empty stomach. this may increase the rate of absorption.,Low
miglustat,take at the same time every day.,Low
miglustat,take with or without food.,Low
promazine,avoid alcohol. additive cns depression may occur if alcohol is consumed.,High
promazine,avoid antacids. the absorption of promazine may be reduced by antacid use.,High
spironolactone,avoid potassium-containing products. potassium products increase the risk of hyperkalemia.,High
spironolactone,take with or without food. food increases the bioavailability of spironolactone by approximately 95.4%. it should be taken at a consistent time in regards to food.,Low
methylphenidate,"avoid alcohol. co-administration with alcohol may cause a ""dose-dumping"" effect with some extended-release formulations of methylphenidate. it may also potentiate the cns effects of methylphenidate.",High
methylphenidate,take with or without food. patients may take methylphenidate with food to alleviate gi upset.,Low
methocarbamol,avoid alcohol.,High
methocarbamol,take with or without food. the absorption is unaffected by food.,Low
hyoscyamine,take before a meal. take 30-60 minutes before a meal.,Low
hyoscyamine,take separate from antacids. take oral hyoscyamine before meals and antacids after meals.,Low
zolpidem,avoid alcohol.,High
zolpidem,take separate from meals. this drug should not be administered with or immediately after a meal.,Low
famciclovir,take with or without food. the absorption is unaffected by food.,Low
triprolidine,avoid alcohol. taking with alcohol may increase drowsiness.,High
lindane,avoid excessive or chronic alcohol consumption.,High
trifluridine,take with food.,Low
prochlorperazine,avoid alcohol. the drug may intensify or prolong the action of central nervous system depressants.,High
cyproheptadine,avoid alcohol. co-administration with alcohol may potentiate the sedative effects of cyproheptadine.,High
bendroflumethiazide,take with food. food increases bioavailability.,Low
allopurinol,avoid alcohol.,High
allopurinol,take with a full glass of water.,Low
allopurinol,take with food.,Low
cerivastatin,avoid grapefruit products.,High
cerivastatin,take with or without food. the absorption is unaffected by food.,Low
entecavir,take on an empty stomach. take 2 hours before or 2 hours after a meal.,Low
teniposide,"exercise caution with grapefruit products. teniposide is a cyp3a4 substrate, and grapefruit inhibits cyp3a4 metabolism, coadministration may increase the serum concentrations of teniposide.",Moderate
teniposide,"exercise caution with st. john's wort. teniposide is a cyp3a4 substrate, and st. john's wort induces cyp3a4 metabolism, coadministration may reduce the serum concentrations of teniposide.",Moderate
epirubicin,drink plenty of fluids. increased fluid intake increases urine output and the excretion of uric acid.,Low
chloramphenicol,take on an empty stomach.,Low
loracarbef,take on an empty stomach. food decreases absorption.,Low
lansoprazole,take before a meal. take 30-60 minutes before meals.,Low
levothyroxine,avoid calcium supplements/calcium rich foods. calcium may interfere with the absorption of this drug by forming an insoluble complex. separate medication administration by at least 4 hours.,High
levothyroxine,avoid grapefruit products. grapefruit may delay the absorption of this medication.,High
levothyroxine,avoid iron supplements. iron may interfere with the absorption of this drug by forming an insoluble complex. separate medication administration by at least 4 hours.,High
levothyroxine,"avoid multivalent ions. examples include iron, magnesium, and calcium. these are often found in antacids, vitamins, and supplements - separate medication administration by at least 4 hours.",High
levothyroxine,"do not take with bran and high fiber foods. dietary fiber, soybean flour, cottonseed meal, and walnuts may reduce the absorption of levothyroxine.",Low
levothyroxine,take on an empty stomach. levothyroxine should be taken on an empty stomach 30-60 minutes prior to the first meal of the day.,Low
meperidine,avoid alcohol.,High
meperidine,take with or without food. food does not significantly affect absorption.,Low
prazosin,avoid alcohol.,High
prazosin,avoid natural licorice.,High
prazosin,take with or without food. the absorption is unaffected by food.,Low
imipramine,avoid alcohol.,High
imipramine,avoid st. john's wort.,High
imipramine,do not take with bran and high fiber foods.,Low
imipramine,limit caffeine intake.,Moderate
imipramine,take with food.,Low
acitretin,avoid alcohol. women of childbearing age should avoid ingesting any alcohol during treatment and two months after discontinuation of acitretin. alcohol intake increases the duration of risk for birth defects to beyond three years post acitretin discontinuation.,High
acitretin,take with food. taking acitretin with the main meal of the day improves oral absorption.,Low
nabumetone,avoid alcohol. alcohol use may aggravate the gastrointestinal irritation caused by this drug.,High
nabumetone,take with food. food increases the rate of absorption.,Low
methscopolamine bromide,take before a meal. take methscopolamine bromide 30 minutes before meals and at bedtime for optimal therapeutic effect.,Low
ketorolac,take with food. food reduces gi irritation.,Low
quinine,take with food. food reduces irritation.,Low
tenoxicam,take with food. food may minimize stomach upset caused by tenoxicam.,Low
dronabinol,"avoid alcohol. patients with a history of substance abuse or dependence, including marijuana or alcohol, may be more likely to abuse syndros as well.",High
dronabinol,"take before a meal. because food delays the absorption of syndros, administer the first dose on an empty stomach at least 30 minutes before eating.",Low
montelukast,take with or without food. the absorption is unaffected by food.,Low
fluoxetine,avoid alcohol.,High
fluoxetine,take with or without food.,Low
methohexital,avoid alcohol. alcohol intake may cause additive cns depressant effects.,High
chlordiazepoxide,avoid alcohol.,High
chlordiazepoxide,take with or without food. the absorption is unaffected by food.,Low
